scenario,swarm_size,dcacs_pttr,fps_pttr,dcacs_travel_time,fps_travel_time,dcacs_loss_rate,fps_loss_rate,dcacs_retransmissions,fps_retransmissions,dcacs_bandwidth_kb,fps_bandwidth_kb,dcacs_battery_mah,fps_battery_mah
A1,4,0.03830599999999999,0.048184,18.6,15.969999999999999,8.358,8.388000000000002,0.0,148.8,141.004,130.57600000000002,75.674,64.672
A2,8,0.068358,0.060072,11.262,12.102,5.8260000000000005,9.63,0.0,478.4,499.7099999999999,566.362,112.026,120.832
A3,12,0.066326,0.0637,12.146,12.692,6.822,10.308,0.0,1000.8,1268.996,1387.9119999999998,185.64799999999997,194.95
A4,16,0.06264600000000001,0.062192000000000004,15.026,15.124,4.634,4.186,0.0,5520.0,2847.7419999999997,3210.754,299.22200000000004,301.49399999999997
A5,20,0.059862000000000005,0.06069,14.266,14.562000000000001,2.6399999999999997,8.104,0.0,5068.0,4282.366,4688.1720000000005,364.392,372.71
A6,24,0.04037,0.043124,27.708,24.706,0.66,3.3239999999999994,0.0,22670.4,12016.346,12139.506,860.2019999999999,763.734
A7,30,0.038956000000000005,0.038756,17.05,17.344,1.266,2.834,0.0,26106.0,11697.155999999999,13528.87,637.7,650.8639999999999
A8,36,0.046258,0.046534,17.140000000000004,16.914,2.966,7.376,0.0,21902.4,17028.811999999998,18177.206,804.0640000000001,792.8599999999999
A9,42,0.043394,0.045238,20.31,19.386,0.9800000000000001,6.932,0.0,36338.4,27537.132,28563.933999999997,1126.776,1074.206
A10,50,0.028318,0.027903999999999995,23.792,24.232,0.084,3.464,0.0,96690.0,45850.504,52727.262,1507.798,1543.2540000000001
